"rules","support","confidence","coverage","lift","count"
"468","{Pair=GBPJPY,Time=18,Local Correct=1,Global Correct=0} => {TP=1}",0.00917431192660551,0.833333333333333,0.0110091743119266,2.34106529209622,5
"469","{Pair=XAUUSD,Time=6,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"470","{Pair=AUDNZD,Time=6,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"471","{Pair=EURCAD,Time=6,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"472","{Pair=EURCAD,Time=6,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"473","{Pair=XAUUSD,Time=1,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"474","{Pair=AUDNZD,Time=1,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"475","{Pair=AUDNZD,Time=1,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"476","{Pair=EURCAD,Time=1,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"477","{Pair=EURCAD,Time=1,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"478","{Pair=GBPJPY,Time=1,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"479","{Pair=GBPJPY,Time=1,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"480","{Pair=XAUUSD,Time=23,Local Correct=1,Global Correct=0} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"481","{Pair=XAUUSD,Time=23,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"482","{Pair=AUDNZD,Time=23,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"483","{Pair=GBPJPY,Time=23,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,0.5,0.0073394495412844,1.40463917525773,2
"484","{Pair=GBPJPY,Time=23,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"485","{Pair=AUDNZD,Time=7,Local Correct=0,Global Correct=0} => {TP=1}",0.0055045871559633,0.375,0.0146788990825688,1.0534793814433,3
"486","{Pair=EURCAD,Time=7,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.5,0.0073394495412844,1.40463917525773,2
"487","{Pair=EURCAD,Time=7,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"488","{Pair=XAUUSD,Time=0,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"489","{Pair=XAUUSD,Time=0,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"490","{Pair=AUDNZD,Time=0,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"491","{Pair=AUDNZD,Time=0,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"492","{Pair=EURCAD,Time=0,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
